S.n,article_id,question,Question_id,user_id,Answers
42,87863,Is India doing anything about food safety ,2418,40815,"To ensure food safety, the government of India had passed Food Safety and Standards Act, 2006 (FSS Act). The FSS Act is an Act of Parliament, popularly known as the Food Act. Previous to the FSS Act had several food legislations. All these have been consolidated into a homogenous whole in the FSS Act. The regulations of the FSS Act became effective in 2011 with FSSAI as its regulatory body. Though the Act continues to evolve, it needs to be further harmonized with the standards of international agencies for global parity."
43,87910,What do you think should we support reproductive rights or not ,2417,40815,"Reproductive rights should be supported because for women, in particular, the ability to control decisions about their reproductive health means they control their destiny. For this reason, reproductive rights are an essential component of an open society, without which women cannot enjoy full equality. Reproductive rights are important to empower women and girls so they can be their own best advocates."
44,87939,"Who won the first place in group C and who won the Euro Cup in 1988? Also tell, who defeated Austria and how much score does Netherlands 🇳🇱 won from Austria 🇦🇹?",2416,40648,"Netherlands national football team won the Euro Cup in 1988. The Netherlands won against Austria and reached the last sixteen of the Euro Cup. After their 2-0 win over Austria, Netherlands won the first place in Group C. 1988 was the last time that the Netherlands won the Euro Cup."
45,87458,Is there any other name of Au-Spot ?,2414,41828,"The other name of Au Spot is Mars Dog. Autonomous Spot is an artificially intelligent, four-legged robot provided by Boston Dynamics and is designed to plumb the depths of Martian caves."
46,87526,Why wars happen?...why is there so much bloodshed?...why are innocents killed bc of wars?,2413,41828,"Wars are caused by one country's wish to take control of another country's wealth. Some scientists believe that as the world's population increases and basic resources become scarce. Wars will be fought more often over fundamental essentials, such as water and food."
47,87939,"Which sport is this article talking about?
",2411,41828,The article-Netherlands reach the last 16 of the Euro Cup is talking about a sport called football and Euro Cup 1988. Netherland won the Euro Cup 1988 against Austria. 
48,87939,the Netherlands won against Austria and reached the last sixteen of the Euro Cup. Netherlands will play against North Macedonia in the next match.,2410,42521,Please frame your question again. 
49,87939,How many scores did Netherlands score in 1988 ,2409,40815,"The Netherland National team scored 2-0 against Austria in 1988. The team also won the Euro Cup, which was the last time when Netherland won the cup. "
50,87939,When will netherlands play against North Macedonia? ,2408,44410,"The match between North Macedonia v/s the Netherlands already happened on June 21, 2021. "
51,87939,Do you think they will win again?,2407,41920,"The Netherland National team won the Euro Cup 1988, which was the last time when Netherland won the cup. After 1988, the team never won the cup. "
52,87930,How do we know that the 'supporters' of Castillo aren't paid or threatened or forced to become supporters?,2395,36969,"We cannot comment on whether Castillo's supporters were not paid, threatened, or forced to become supporters because no evidence has been found to prove that Castillo used fraudulent techniques to win elections."
53,87526,Who was Alphonse Daudet? Write a short note on him,2390,43011,"Alphonse Daudet was born May 13, 1840, in Nîmes, France, and died on December 16, 1897. He was a french short-story writer and novelist, now remembered chiefly as the author of sentimental tales of provincial life in the south of France. Alphonse wrote his first poems and his first novel at age 14. Truth and fantasy, merciless delineation and poetry, clear-sighted seriousness and a sense of humor, irony, and compassion, all the contrasting elements of which man’s dignity is made up are to be found harmonized in Daudet’s best work."
54,87932,What does trawler mean?,2389,42173,Trawler means the fishing boat to catch a large sum of fish through a cone-shaped net in the deep sea. 
55,87932,"What is the meaning of Cumbersome
",2388,43223,"Cumbersome means something large, heavy, bulky, etc., which is difficult to carry. "
56,87931,Why Singapore’s shrinking population does not impact its economy?,2386,44386,"The reason why the shrinking population of Singapore is not affecting the economy is that Singapore’s strategy for decades has been marketing itself as an efficient, well-regulated, and impeccably maintained island. Singapore is a place that would stand out in a region renowned for sky-high growth rates but beset by straining infrastructure and political volatility. Generations of visitors have marveled at the user-friendliness of its airport, roads, and port facilities. Many chose to root their businesses in Singapore. Also, the increasing per capita income is one of the reasons"
57,87926,"Why this article is important?
",2385,43899,"Reducing plastic pollution from the ocean is important because a healthy ocean regulates the climate and reduces climate change impacts. Ocean currents distribute heat across the globe, regulating temperature and weather. The ocean also absorbs over 90% of the heat and approximately 30% of carbon dioxide emissions produced by human activities. Also, plastic pollution is affecting the marine environment, and it also threatens ocean health, food safety and quality, human health, and coastal tourism."
58,87929,"If all humans are vegans, will it be enough for ocean conservation. Justify your answer.
",2384,44343,"As ocean acidity increases, creatures with calcium carbonate in their shells, such as molluscs, crabs, and coral reefs, find it harder to grow and reproduce. By switching to a vegan diet, we can reduce the amount of agricultural carbon being pumped into the atmosphere and help ocean ecosystems re-stabilize. "
59,87916,Why is sea snot also known as mockilage,2383,41583,Sea snot is marine mucilage that is formed when algae are overloaded with nutrients as a result of water pollution combined with the effects of climate change. The nutrient overload occurs when algae feast on warm weather caused by global warming. The increase in sea snot is due to the large increase in phosphorus and other excessive nutrients. 
60,87923,"Why the squirrel was  named after Yunnan, why not China. 
How do squirrels make their own species ??",2382,42805,"Some squirrels build nests in tree cavities rather than among the high branches. The squirrel begins by roughly weaving a platform of live green twigs. Then an outer skeleton of twigs and vines is built around the insulated core, and finally, additional material fills in and strengthens the shell. Ask Siri why Yunnan and why not China. "
61,87929,What is the meaning of 17SDG in this paragraph,2381,41583,"Sustainable Development Goal 17 (SDG 17 or Global Goal 17) is about ""partnerships for the goals."" One of the 17 Sustainable Development Goals established by the United Nations in 2015. The Goal has 17 targets to be achieved by 2030, broken down into five categories: finance, technology, capacity building, trade, and systemic issues. Progress towards targets will be measured by 25 indicators. "
62,87551,"INDIA played a major role  to fight  against covid19 pandemic ?
?",2380,43959,"Yes, India has played an important role in the fight with coronavirus. India's research and vaccine manufacturing capabilities have helped the world in fighting coronavirus. India also made long strides when it comes to developing health infrastructure and also exported a huge amount of vaccines. "
63,87926,What's the alternative for plastic to save the ocean?,2379,43959,"The alternative to plastic to save the ocean is bioplastics: an eco-friendly alternative to conventional plastic. The bioplastics that can be used:-      Starch-based blends.
Polylactic acid-based blends (PLA blends)
Bioplastics made from thermo-plastically modified starch (TPS)
Bioplastics are made from PLA.
Cellulose-based plastics.
Biobased bioplastics (bioPE, bioPET)"
64,87931,What is the reason for lowest population increase in Singapore?,2378,43959,"The Singapore total population dropped 0.3 percent to 5.69 million as of June from a year ago, largely due to a reduction in foreign employment in the services sector, according to Singapore’s annual population report. The decline in Singapore population growth is likely due to a confluence of factors: lower levels of immigration, population aging, and declining fertility rates. A drop in net immigration is a key factor in the country's declining population growth rate."
65,87934,"Why do you think it was important to test the function of the space station using humans, couldn't it be done remotely?",2377,43545,To test the function of the space station using humans is important because the objective of this mission was to bring the 22.5-tonne Tianhe module into service. 
66,87934,"Did they come back?
",2376,43630,"The mission is for 3 months. The three astronauts are going to stay for three months in outer space, about 380 km away from the earth. It was launched on 29 April 2021. "
67,87904,Yes men and woman should be considered eqully,2375,41133,Request you to kindly frame your question again. This seems to be a valid statement.
68,87931,How does birth rate affect immigration? ,2374,43920,"Immigration affects the birth rate because fewer people are being born, and there are fewer people who can work. Therefore, immigration has to be increased because there need to be more workers moving into an area to keep the economy afloat. "
69,87934,Describe tianhe and write the names of the three crew members,2373,43115,"Tianhe officially, the Tianhe core module is the first module to launch the Tiangong space station. It was launched into orbit on 29 April 2021, as the first launch of the final phase of the Tiangong program (Project 921), part of the Chinese space program. The name of the three crew members is Nie Haisheng, Liu Boming, and Tang Hongbo."
70,87936,Where this match is held?,2372,40689,"The match of India v/s England was held at County Ground in Bristol, United Kingdom. All the other matches were held in England. "
71,87934,"What was the age of Nie Haisheng?
",2371,43779,"The age of Nie Haisheng is 56, who is on a mission to bring the 22.5-tonne Tianhe module into service. "
72,87934,"When will the Chinese space station will be completed. And will it be bigger then the iss 
",2370,42495,"The crew boarded the module, where they will live for three months, the longest stay in low-Earth orbit by any Chinese national. China's space station, due to be finished by the end-2022, will be the only alternative to the two-decade-old, U.S.-led International Space Station (ISS), which may be retired in 2024."
73,87934,What will we find out from this project?,2369,43083,The result of the project will be released when the crew members of the mission will come back from space. 
74,87932,Who are the local leaders,2368,44111,There are no local leaders. They all are local people of Gwadar who are facing livelihood problems because of the Chinese trawlers. 
75,87932,Why are the Chinese fishing there instead of fishing somewhere else where they don't affect the livelihood of locals,2367,41934,"China chose Gwadar Port for its trawlers as it expects to need more seafood for its population. According to an August 2020 study done by the Yale School of the Environment, Chinese trawlers are doing extensive fishing at many places in international waters. So, wherever Chinese trawlers will do fishing, they will affect their livelihood. "
76,87934,Will there be frequent visits to Tianhe in the near future as they are checking life support systems ?,2366,44064,China's government or the China National Space Administration (CNSA) has not made any announcement regarding their future plans for the development of the Tianhe (meaning harmony of heavens) space station core module. 
77,87931,"what might be the factors affecting birth rate in Singapore?
 ",2364,44038,The factors that have contributed to the low birth rate in Singapore are finances and mental readiness. The main reason couples in Singapore are delaying having children is money because it is not cheap to have a child in Singapore. Singapore comes under the most expensive island. 
78,87934,What if scientists travelled more than three .will  there be a benefit??,2363,43965,"The commander of this mission Nie Haisheng said that the mission is tough and challenging. I believe with the three of us working closely together, doing thorough and accurate operations, we can overcome our challenges. We have the confidence to complete the mission. According to them, there is no need for any other scientist. "
79,87931,Why immigration is very little in Singapore?,2362,43162,"The immigration in Singapore right now is a tad because of the Covid-19. Due to Covid-19, the country is been lockdown for a very long, and because of that, Singapore saw very little immigration (people coming into the country) and job losses led to some emigration (people leaving the country). "
80,87934,What is the meaning of Tianhe?,2361,44003,"In Chinese, the name Tianhe means ""a river in the sky/heavens"" which is also a Chinese name for the Milky Way."
81,87936, How many  runs Mithali raj  in test match ,2360,42491,Mithali Raj scored 669 runs in test matches. 
82,87931,What is the average life expectancy of people living in Singapore?,2359,40095,"The life expectancy for Singapore in 2020 was 83.66 years, a 0.16% increase from 2019."
83,87926,What are the names of plastics which contain micro beads?,2358,42944,"Microbeads are tiny pieces of plastic found in many very well-known conventional beauty and skin care products – by many household brands. They are rife on supermarket shelves, and mainly found in exfoliating face and body scrubs, glittery make-up, toothpaste, shower gel, and more."
84,87932,Did Pakistan learn any lesson for being friendly with China?,2357,43782,"No, because still, China is Pakistan's largest supplier of arms and its third-largest trading partner."
85,87929,To what level do the laws made by UNCLOS mitigate the encroachment upon the sea in ABNJ?,2356,43818,"Nearly two-thirds of the world’s ocean lies in areas beyond national jurisdiction (ABNJ), which are home to unique species and ecosystems. Fragmented legal frameworks leave biodiversity in ABNJ vulnerable to growing threats. The degradation of biodiversity in ABNJ affects the ocean’s capacity to provide resources necessary for human survival. Negotiations are underway to create a new international instrument under the UN Convention on the Law, which would help close the existing ABNJ governance gap. "
86,87931,Why was the population growth rate of Singapore the least in this decade?Give reasons for your answer.,2355,39778,"Data released by the National Population and Talent Division showed that Singapore’s population declined by 0.3 percent in the past year. The decline in the overall population was ""largely due"" to the decrease in the number of foreigners. Also, the proportion of Singaporeans aged 65 and above is rising and at a faster pace compared to 10 years before, as life expectancy continues to increase and fertility rates remain low. "
87,87934,Didn't the pandemic affect the launch in any way? ,2354,40559,"No, the pandemic didn't affect the launch in any way. It was a successful launch. "
88,87904,"Discrimination should exist in the first place. Why do people, especially women, have to struggle so much just to get equal opportunities?",2352,40632,"The problems that cause unequal opportunities for women are uneven access to education, lack of employment equality, job segregation, lack of legal protections, lack of bodily autonomy, poor medical care, lack of religious freedom and political representation, racism, societal mindsets, etc. These all are some reasons for discrimination too. "
89,87931,"If there are less imigration, then there is more opportunity for people already living there to get a job. And work has now evolved to happen from home itself. Then why did many leave due to job losses?",2350,42694,"Singapore was under complete lockdown due to the coronavirus, reducing the flow of money in the market. Many companies suffered huge losses due to the lockdown, which led to layoffs. Singapore is an expensive city and this is the reason why Singaporeans are choosing to leave the city."
90,87885,"If the art cannot be seen, then how can it be placed?",2349,43896,"""Vision is the art of seeing what is invisible to others""- Jonanthan Swift                            https://www.ctvnews.ca/lifestyle/why-a-banana-duct-taped-to-a-wall-sold-for-120-000-1.4719724"
91,87931,What did they do to increase their population ,2348,43749,"To increase the population, Singapore began introducing policies to raise fertility in 1987. There are three main categories: (1) financial incentives; (2) support for parents to combine work and family; and (3) policies to encourage marriage. The Government began offering cash payments and a co-saving plan to parents in 2000."
92,421,What is dark energy and dark Matter? What can it do?,2347,43823,"Dark matter slows down the expansion of the universe, while dark energy speeds it up. Dark matter works like an attractive force — a kind of cosmic cement that holds our universe together. This is because dark matter does interact with gravity, but it doesn't reflect, absorb, or emit light."
93,87923,What new species of squirrel is found?,2345,43657,Two new species of woolly flying squirrel have been found by an international team of scientists from Australia and China. These two newly discovered species have been named Tibetan woolly flying squirrel (Eupetaurus tibetensis) and Yunnan woolly flying squirrel (Eupetaurus nivamons).  The two new species have differently shaped skulls and different DNA (genetic material) make-up. Both species can grow more than three feet and weigh over 2.5 kilograms each. 
94,87931,Why singaporean population grew slowly after independence? ,2344,43801,"After independence, the fledgling nation had to become self-sufficient and faced problems including mass unemployment, housing shortages, and lack of land and natural resources such as petroleum. Due to all those problems, the population of Singapore grew slowly. "
95,87934,"What were the challenges faced during this project?
",2343,41781,We will know the challenges once the project is over. The astronauts who went for the mission will share their experience and all the challenges after coming back from the mission.
96,87045,What is barot,2339,43261,"Borat is a Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (or simply Borat) is a 2006 mockumentary comedy film directed by Larry Charles and starring Sacha Baron Cohen. Baron-Cohen plays the leading role of Borat Sagdiyev, a fictional Kazakhstani journalist who travels through the United States to make a documentary that features real-life interactions with Americans."
97,87929,"Tell me more climate SDG
",2338,38540,"Sustainable Development Goal 17 (SDG 17 or Global Goal 17) is about ""partnerships for the goals."" One of the 17 Sustainable Development Goals established by the United Nations in 2015, the official wording is: ""Strengthen the means of implementation and revitalize the global partnership for sustainable development. The Goal has 17 targets to be achieved by 2030, broken down into five categories: finance, technology, capacity building, trade, and systemic issues."
98,87929,"Pls give the full forms for:
ABNJ
UNCLOS
and the meaning for Maritime",2336,43507,"The full form of ABNJ is Areas Beyond National Jurisdiction, and the full form of UNCLOS is the United Nations Convention on the Law of the Sea. The meaning of maritime is connected with the sea, especially concerning seaborne trade or naval matters."
99,87933,Is Sweden a state in Spain??,2334,43548,"No, Sweden is not a state in Spain. Sweden is a country in Europe. Sweden has a constitutional monarchy and a parliamentary democracy, with legislative power vested in the 349-member unicameral Riksdag. It is a unitary state, currently divided into 21 counties and 290 municipalities."
100,87929,What is the synonym of fragile??,2333,43548," The synonyms of fragile are brittle, crisp, frangible, and friable. While all these words mean ""breaking easily,"" fragile implies extreme delicacy of material or construction and the need for careful handling."
101,87931,"Why is immigration so important in Singapore?
",2331,43070,Immigration is important for Singapore because immigration to Singapore is historically the main impetus for population growth in the country since the founding of modern Singapore in the early 19th century. Immigration and immigrant workers in Singapore have been closely associated with Singapore's economic development.
102,87917,Is whale a fish?,2328,43537,"No, whales are not fish. Whales, along with dolphins and porpoises, are warm-blooded mammals and breathe air as humans do. There are some significant differences between whales and fish: Whales are warm-blooded. Fish are cold-blooded."
103,87932,Where is Gwadar port situated and why it is so important to china ?,2327,43063,"Gwadar port is situated at Gwadar, Balochistan, Pakistan. The Gwadar port is important to China because it reduces Chinese dependence on the Sea of Malacca and South China Sea routes. The port of Gwadar will provide China an alternative and shorter route for energy imports from the Middle East, thereby reducing shipping costs and transit times. Also, it secures reliable access to the strategic space and resources of the northern Indian Ocean and the Persian Gulf."
104,87931,"My Question is related to China's new birth policy about three children. After China has allowed couples to have three children,  why are couples saying no?",2325,43531,"The high cost of raising children is holding Chinese couples back from having more kids. The Chinese couple said it is ""too expensive""  to afford another child. It is the main reason why people of China are not having another child."
105,87922,To whom Novak Djokovic defeated in the French open?,2324,40761," Novak Djokovic defeated Stefanos Tsitsipas (Greece) in the French Open, a tennis tournament held between 24th May and 13th June 2021. This was Novak’s 19th Grand Slam title and 2nd French Open championship. "
106,87926,"Can a small microbead affect a huge ocean. If yes, how?",2316,43374,"There are billions of particles of toxic plastic called microbeads. And they're killing our fragile marine life. A common ingredient in cosmetic and household products, the problem with these microbeads is that they're incredibly small. So small that most wastewater treatment facilities can't filter them out. The only way to stop microbeads from poisoning our rivers, lakes, and oceans is to stop them from entering delicate marine ecosystems in the first place."
107,87977,Why was there need for making bridges?,2527,40761,"All 63 bridges are single-span superstructure bridges. It replaces the existing bailey bridge, which will ensure the unhindered movement of heavy vehicles, vehicles carrying heavy weapons, etc. These bridges facilitate strategic and quicker access not just to Armed forces but to people living in the border villages as well. The bridges have become a lifeline for many villages. "
108,87941,If this much people die after eating unhealthy food because some of the people  don't realise this thing.,2526,40881,Request you to kindly frame your question again. This seems to be a statement.
109,87974,How water sinks to ocean,2525,41415,"Most water is carried into the oceans by rivers. The place where a river meets the ocean is called a delta or estuary.  Some other water gets into the oceans when groundwater seeps out of the ground or when rain falls over the ocean. A drop of water spends an average of 3,230 years in the oceans before moving on to its next journey in the water cycle. That’s a long time. "
110,87963,Why is Earth is in thee layers.,2524,44840,"The differentiation between these layers is due to processes that took place during the early stages of Earth's formation (ca. 4.5 billion years ago). At this time, melting would have caused denser substances to sink toward the center, while less-dense materials would have migrated to the crust."
111,87956,What is living building system?,2523,41157,"Living Building System is the technology of prefabricated construction systems, wherein a building is constructed by methods of assembling small self-contained modular units. These are built-in advances at a factory. One of the most appealing factors about the system is that each building module has the same dimensions as a shipping container when folded, making it quite mobile. It is easy to transport and install. "
112,87952,Can we go to the mars whith this amount of energy,2522,40881,"To go on Mars we need 66,770 gallons of liquid hydrogen fuel, 19,359 gallons of liquid oxygen, 260,000 gallons of liquid hydrogen fuel, 80,000 gallons of liquid oxygen, 318,000 gallons of liquid oxygen, and 203,400 gallons of kerosene fuel. "
113,87956,What is the meaning of living building systems and who invented it ,2521,40861,"Living Building System is the technology of prefabricated construction systems, wherein a building is constructed by methods of assembling small self-contained modular units. These are built-in advances at a factory. One of the most appealing factors about the system is that each building module has the same dimensions as a shipping container when folded, making it quite mobile. It is easy to transport and install. The Living Building Challenge was launched by the Cascadia Green Building Council. t was created by Jason F. McLennan and Bob Berkebile, of BNIM"
